#,Keyword,URL,Page title,Status / note
1,travel agency in dubai,https://travelagencyindubai.com/,,Targeted
2,best travel agency in dubai,https://travelagencyindubai.com/,,Targeted
3,tourism companies in dubai,https://travelagencyindubai.com/,,Targeted
4,top 10 travel agencies in dubai 2020,https://travelagencyindubai.com/,,Targeted
5,travel and tours in dubai,https://travelagencyindubai.com/dubai-tours,,Targeted
6,list of travel and tourism companies in dubai,https://travelagencyindubai.com/services/tour-operators,,Targeted
7,list of tourism companies in dubai,https://travelagencyindubai.com/services/tour-operators,,Targeted
8,travel agent for dubai trip,https://travelagencyindubai.com/contact,,Targeted
9,best travel agency for dubai,https://travelagencyindubai.com/,,Targeted
10,dubai specialist travel agents,https://travelagencyindubai.com/,,Targeted
11,travel agency in dubai 24 hours,https://travelagencyindubai.com/contact,,Targeted
12,dubai escorted,,,"Ambiguous; assumed escorted tours, confirm before targeting"
13,dubai tour package,https://travelagencyindubai.com/packages,,Targeted
14,dubai tour,https://travelagencyindubai.com/dubai-tours,,Targeted
15,dubai holiday package,https://travelagencyindubai.com/packages,,Targeted
16,trip advisor dubai,,,Navigational — belongs to tripadvisor.com
17,desert safari dubai,https://travelagencyindubai.com/dubai-tours/desert-safari,,Targeted
18,dubai safari,https://travelagencyindubai.com/dubai-tours/desert-safari,,Targeted
19,dubai cruise,https://travelagencyindubai.com/dubai-tours/dhow-cruise-marina,,Targeted
20,dhow cruise dubai,https://travelagencyindubai.com/dubai-tours/dhow-cruise-marina,,Targeted
21,dhow cruise dubai marina,https://travelagencyindubai.com/dubai-tours/dhow-cruise-marina,,Targeted
22,cruise from dubai,https://travelagencyindubai.com/dubai-tours/dhow-cruise-marina,,Targeted
23,cruise dinner dubai,https://travelagencyindubai.com/dubai-tours/dhow-cruise-marina,,Targeted
24,dhow cruise marina,https://travelagencyindubai.com/dubai-tours/dhow-cruise-marina,,Targeted
25,dubai marina cruise,https://travelagencyindubai.com/dubai-tours/dhow-cruise-marina,,Targeted
26,dubai marina dinner cruise,https://travelagencyindubai.com/dubai-tours/dhow-cruise-marina,,Targeted
27,boat tour dubai,https://travelagencyindubai.com/dubai-tours/yacht-charter,,Targeted
28,dubai yacht tour,https://travelagencyindubai.com/dubai-tours/yacht-charter,,Targeted
29,dubai yellow boats,https://travelagencyindubai.com/dubai-tours/yacht-charter,,Targeted
30,dubai safari tour,https://travelagencyindubai.com/dubai-tours/desert-safari,,Targeted
31,holiday packages,https://travelagencyindubai.com/packages,,Targeted
32,dubai tour attractions,https://travelagencyindubai.com/uae-attractions,,Targeted
33,dubai desert tour,https://travelagencyindubai.com/dubai-tours/desert-safari,,Targeted
34,top tourism companies in dubai,https://travelagencyindubai.com/,,Targeted
35,massage center,https://travelagencyindubai.com/uae-attractions/dubai/dubai-spas-and-hammams,"Spa & Massage in Dubai | Prices, Hammams & Licensed Centres",Targeted
36,massage center near to me,https://travelagencyindubai.com/uae-attractions/dubai/dubai-spas-and-hammams,"Spa & Massage in Dubai | Prices, Hammams & Licensed Centres",Targeted
37,massagecenter near me,https://travelagencyindubai.com/uae-attractions/dubai/dubai-spas-and-hammams,"Spa & Massage in Dubai | Prices, Hammams & Licensed Centres",Targeted
38,massage therapy center,https://travelagencyindubai.com/uae-attractions/dubai/dubai-spas-and-hammams,"Spa & Massage in Dubai | Prices, Hammams & Licensed Centres",Targeted
39,malls in dubai,https://travelagencyindubai.com/uae-attractions/dubai/the-dubai-mall,,Targeted
40,dubai safari park,https://travelagencyindubai.com/uae-attractions/dubai/dubai-safari-park,"Dubai Safari Park | Tickets, Season Dates & What to See",Targeted
41,things to do in dubai,https://travelagencyindubai.com/blog/things-to-do-in-dubai,,Targeted
42,dubai marina,https://travelagencyindubai.com/uae-attractions/dubai/dubai-marina-jbr,,Targeted
43,grand hyatt dubai,,,Hotel brand — belongs to the operator
44,booking dubai,https://travelagencyindubai.com/packages,,Targeted
45,nikki beach dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,"Dubai Beach Clubs | Minimum Spend, Ladies' Days & Rules",Targeted
46,anantara the palm dubai resort,,,Hotel brand
47,fairmont the palm,,,Hotel brand
48,places to visit in dubai,https://travelagencyindubai.com/uae-attractions/dubai,,Targeted
49,zero gravity dubai,https://travelagencyindubai.com/uae-attractions/dubai/dubai-beach-clubs,,Targeted
50,dubai water park,https://travelagencyindubai.com/things-to-do/waterparks/dubai,,Targeted
51,dubai hotel booking,https://travelagencyindubai.com/services/hotels,,Targeted
52,dubai skydiving,https://travelagencyindubai.com/things-to-do/adventure/dubai,,Targeted
